state,district,priority_label,priority_rank,forecast_next_month,required_staff,required_kits
Tripura,Gomati,Medium Priority,404.0,125,1,1
Uttarakhand,Hardwar,Medium Priority,405.0,32,1,1
Maharashtra,Buldhana,Medium Priority,406.0,973,2,2
Karnataka,Gadag *,Medium Priority,407.0,26,1,1
Uttarakhand,Nainital,Medium Priority,408.0,714,2,2
Haryana,Faridabad,Medium Priority,409.0,1454,3,3
Sikkim,South,Medium Priority,410.0,30,1,1
Jharkhand,Lohardaga,Medium Priority,411.0,505,1,1
Odisha,Jajpur,Medium Priority,412.0,509,1,1
Ladakh,Kargil,Medium Priority,413.0,116,1,1
Maharashtra,Latur,Medium Priority,414.0,1120,3,3
Arunachal Pradesh,Changlang,Medium Priority,415.0,120,1,1
Maharashtra,Chandrapur,Medium Priority,416.0,741,2,2
Karnataka,Shivamogga,Medium Priority,417.0,495,1,1
Punjab,Mansa,Medium Priority,418.0,219,1,1
Jammu And Kashmir,Leh,Medium Priority,419.0,51,1,1
Lakshadweep,Lakshadweep,Medium Priority,419.0,45,1,1
